Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
66,Rayo Vallecano,es ESP,12,38,11,9,18,39,50,-11,42,1.11,42.8,48.4,-5.6,-0.15,7866,Sergi Guardiola - 8,Stole Dimitrievski
67,Elche,es ESP,13,38,11,9,18,40,52,-12,42,1.11,33.7,59.1,-25.4,-0.67,15640,Pere Milla - 8,Édgar Badía
68,Espanyol,es ESP,14,38,10,12,16,40,53,-13,42,1.11,36.7,51.2,-14.5,-0.38,17362,Raúl de Tomás - 17,Diego López
69,Angers,fr FRA,14,38,10,11,17,44,55,-11,41,1.08,46.5,50.0,-3.6,-0.09,7758,Sofiane Boufal - 8,Danijel Petković
70,Empoli,it ITA,14,38,10,11,17,50,70,-20,41,1.08,44.9,66.0,-21.2,-0.56,6356,Andrea Pinamonti - 13,Guglielmo Vicario
71,Southampton,eng ENG,15,38,9,13,16,43,67,-24,40,1.05,44.8,60.0,-15.2,-0.40,30134,James Ward-Prowse - 10,Fraser Forster
72,Getafe,es ESP,15,38,8,15,15,33,41,-8,39,1.03,29.3,38.6,-9.3,-0.25,8702,Enes Ünal - 16,David Soria
73,Cádiz,es ESP,17,38,8,15,15,35,51,-16,39,1.03,39.5,48.3,-8.7,-0.23,14055,Anthony Lozano Álvaro Negredo - 7,Jeremías Ledesma
74,Everton,eng ENG,16,38,11,6,21,43,66,-23,39,1.03,41.2,55.4,-14.2,-0.37,38446,Richarlison - 10,Jordan Pickford
75,Mallorca,es ESP,16,38,10,9,19,36,63,-27,39,1.03,38.8,49.3,-10.5,-0.28,12712,Vedat Muriqi Salva Sevilla - 5,Manolo Reina
76,Troyes,fr FRA,15,38,9,11,18,37,53,-16,38,1.00,39.2,50.8,-11.5,-0.30,9491,Xavier Chavalerin Ike Ugbo - 5,Gauthier Gallon
77,Granada,es ESP,18,38,8,14,16,44,61,-17,38,1.00,39.0,61.2,-22.2,-0.59,13710,Jorge Molina - 10,Luís Maximiano
78,Leeds United,eng ENG,17,38,9,11,18,42,79,-37,38,1.00,44.4,67.8,-23.5,-0.62,36308,Raphinha - 11,Illan Meslier
79,Stuttgart,de GER,15,34,7,12,15,41,59,-18,33,0.97,43.7,54.0,-10.2,-0.30,27052,Sasa Kalajdzic - 6,Florian Müller
80,Hertha BSC,de GER,16,34,9,6,19,37,71,-34,33,0.97,33.3,54.3,-21.0,-0.62,23500,Stevan Jovetić - 6,Alexander Schwolow
81,Sampdoria,it ITA,15,38,10,6,22,46,63,-17,36,0.95,36.7,56.1,-19.3,-0.51,9417,Francesco Caputo - 11,Emil Audero
82,Lorient,fr FRA,16,38,8,12,18,35,63,-28,36,0.95,41.3,50.5,-9.2,-0.24,12738,Terem Moffi - 8,Paul Nardi
83,Spezia,it ITA,16,38,10,6,22,41,71,-30,36,0.95,40.1,64.4,-24.3,-0.64,6709,Daniele Verde - 8,Ivan Provedel
84,Clermont Foot,fr FRA,17,38,9,9,20,38,69,-31,36,0.95,44.4,52.4,-8.0,-0.21,10569,Mohamed Lamine Bayo - 14,Ouparine Djoco
85,Burnley,eng ENG,18,38,7,14,17,34,53,-19,35,0.92,39.7,57.1,-17.4,-0.46,19278,Maxwel Cornet - 9,Nick Pope
86,Levante,es ESP,19,38,8,11,19,51,76,-25,35,0.92,55.1,55.0,+0.1,0.00,14961,José Luis Morales - 13,Cárdenas
87,Saint-Étienne,fr FRA,18,38,7,11,20,42,77,-35,32,0.84,38.3,58.2,-19.9,-0.52,21806,Wahbi Khazri - 10,Paul Bernardoni
